Energy (MeV),Transmission,Rel Error
1e-08,0.0,0.0
1e-07,0.0,0.0
1e-06,0.0,0.0
1e-05,9.89375e-07,1.0
0.0001,1.19523e-05,0.2887
0.001,8.01676e-05,0.1106
0.01,0.000362973,0.0522
0.1,0.00289212,0.0185
1.0,0.112687,0.0028
10.0,0.648729,0.0007
