Energy (MeV),Transmission,Rel Error
1e-08,0.000206928,0.0695
1e-07,0.0643179,0.0038
1e-06,0.389194,0.0013
1e-05,0.688627,0.0007
0.0001,0.825242,0.0005
0.001,0.860109,0.0004
0.01,0.892923,0.0003
0.1,0.893625,0.0003
1.0,0.873163,0.0004
10.0,0.965969,0.0002
