Energy (MeV),Transmission,Rel Error
1e-08,0.0,0.0
1e-07,0.0,0.0
1e-06,0.0,0.0
1e-05,9.92111e-07,1.0
0.0001,2.68525e-05,0.1924
0.001,0.000134794,0.0855
0.01,0.000508571,0.0442
0.1,0.00351668,0.0168
1.0,0.11781,0.0027
10.0,0.658271,0.0007
