Energy (MeV),Transmission,Rel Error
1e-08,1.3e-05,0.2773
1e-07,0.025801,0.0061
1e-06,0.289506,0.0016
1e-05,0.62149,0.0008
0.0001,0.791176,0.0005
0.001,0.850516,0.0004
0.01,0.878303,0.0004
0.1,0.881604,0.0004
1.0,0.86126,0.0004
10.0,0.963152,0.0002
